timestamp,raw_value
1724820448.1067903,113
1724820448.197435,312
1724820448.197435,312
1724820448.2094386,312
1724820448.2094386,312
1724820448.221505,-231
1724820448.221505,-231
1724820448.2425067,44
1724820448.2425067,44
1724820448.2560904,279
1724820448.2560904,279
1724820448.2688842,-93
1724820448.2688842,-93
1724820448.30087,-152
1724820448.302871,-177
1724820448.312869,465
1724820448.32087,-94
1724820448.32487,-94
1724820448.3358717,-94
1724820448.3368728,-94
1724820448.3488731,409
1724820448.3488731,409
1724820448.364874,11
1724820448.364874,11
1724820448.3768766,344
1724820448.3768766,344
1724820448.3888748,482
1724820448.3888748,482
1724820448.4008775,35
1724820448.4008775,35
1724820448.4128773,253
1724820448.413399,253
1724820448.4253988,589
1724820448.4253988,589
1724820448.4404006,-22
1724820448.4404006,-22
1724820448.4524035,-22
1724820448.4536204,-14
1724820448.4642344,361
1724820448.4651132,361
1724820448.476115,361
1724820448.476115,361
1724820448.4891155,-68
1724820448.4891155,-68
1724820448.5041158,88
1724820448.5191169,-82
1724820448.5191169,-82
1724820448.5321157,345
1724820448.5321157,345
1724820448.5441186,98
1724820448.5441186,98
1724820448.5571213,-248
1724820448.5561194,-248
1724820448.5691218,-55
1724820448.5691218,-55
1724820448.5811229,-137
1724820448.5819423,-278
1724820448.592934,284
1724820448.592934,284
1724820448.6049345,-24
1724820448.6059363,195
1724820448.6170936,-210
1724820448.6170936,-210
1724820448.6294878,-24
1724820448.6294878,-24
1724820448.641,233
1724820448.641,233
1724820448.652982,-102
1724820448.652982,-102
1724820448.6639824,16
1724820448.6649852,-195
1724820448.6758752,-218
1724820448.6768842,-218
1724820448.6873112,-116
1724820448.6881328,61
1724820448.6988277,-398
1724820448.6998742,-398
1724820448.7108297,-43
1724820448.711858,-43
1724820448.7228334,279
1724820448.7228334,279
1724820448.7342517,-246
1724820448.735258,-125
1724820448.7467442,24
1724820448.7467442,24
1724820448.7577448,284
1724820448.758293,284
1724820448.7694986,-119
1724820448.7707672,96
1724820448.7811697,188
1724820448.7821853,188
1724820448.7931914,188
1724820448.793878,188
1724820448.804375,188
1724820448.8058395,188
1724820448.815503,-441
1724820448.8169885,-441
1724820448.8269875,11
1724820448.8290975,11
1724820448.8379924,-156
1724820448.8399956,-156
