timestamp,raw_value
1725841379.2717867,0
1725841379.2984824,0
1725841379.311483,0
1725841379.3234835,0
1725841379.3355305,0
1725841379.3486583,0
1725841379.36012,0
1725841379.4021838,0
1725841379.4144244,0
1725841379.4264243,0
1725841379.438335,0
1725841379.4502323,0
1725841380.126449,0
1725841380.1397755,0
1725841380.151143,0
1725841380.1641443,0
1725841380.176171,0
1725841380.188986,0
1725841380.2006128,0
1725841380.2123382,0
1725841380.223339,0
1725841380.235511,50
1725841380.2476692,48
1725841380.2598603,43
1725841380.2718604,42
1725841380.283934,42
1725841380.2989342,42
1725841380.3191252,38
1725841380.3471255,37
1725841380.3643086,37
1725841380.378221,37
1725841380.3972228,36
1725841380.409223,36
1725841380.4222329,36
1725841380.434747,36
1725841380.4470656,36
1725841380.4590664,36
1725841380.4710736,36
1725841380.4830687,36
1725841380.4960694,36
1725841380.5090702,36
1725841380.5220714,36
1725841380.5348816,36
1725841380.5468857,36
1725841380.5598853,36
1725841380.5748858,36
1725841380.590887,35
1725841380.6038876,36
1725841380.6217647,36
1725841380.633754,36
1725841380.645754,36
1725841380.657757,36
1725841380.6697564,36
1725841380.6827576,36
1725841380.6947694,36
1725841380.7067733,35
1725841380.718247,36
1725841380.729344,36
1725841380.7413437,35
1725841380.7529233,35
1725841380.7655613,35
1725841380.7775621,36
1725841380.7893298,36
1725841380.8008752,36
1725841380.81288,36
1725841380.824631,36
1725841380.83663,36
1725841380.8480508,36
1725841380.8598497,36
1725841380.8718617,35
1725841380.8839462,35
1725841380.8951876,35
1725841380.906764,35
1725841380.9187748,36
1725841380.930773,36
1725841380.9419742,35
1725841380.9537299,36
1725841380.9657302,36
1725841380.9769247,36
1725841380.9881396,35
1725841380.9997559,35
1725841381.0112782,36
1725841381.0237932,36
1725841381.035079,36
1725841381.0462875,36
1725841381.0582883,36
1725841381.0705004,36
1725841381.082502,36
1725841381.094377,36
1725841381.1064334,36
1725841381.1180797,36
1725841381.1293666,36
1725841381.141118,36
1725841381.1531174,36
1725841381.1650522,36
1725841381.178053,36
1725841381.1900535,36
1725841381.2013454,36
1725841381.2126005,36
1725841381.2241163,36
1725841381.236358,36
1725841381.2489405,36
1725841381.260857,35
1725841381.2728586,36
1725841381.284766,36
1725841381.2967663,36
1725841381.3084345,36
1725841381.3195374,36
1725841381.3315384,36
1725841381.3441339,36
1725841381.3561406,36
1725841381.3681421,36
1725841381.380142,36
1725841381.3918602,36
1725841381.4035177,36
1725841381.415114,36
1725841381.4281137,36
1725841381.4400365,36
1725841381.452086,36
1725841381.4640982,36
1725841381.4761925,36
1725841381.488194,36
1725841381.5001943,36
1725841381.5116131,36
1725841381.5246115,36
1725841381.5366156,36
1725841381.5485508,36
1725841381.560083,36
1725841381.572067,36
1725841381.585068,36
1725841381.5965586,36
1725841381.6085594,35
1725841381.6215608,36
1725841381.633561,36
1725841381.6455617,36
1725841381.657563,36
1725841381.6695936,36
1725841381.682067,36
1725841381.6933646,36
1725841381.7047293,36
1725841381.7164667,36
1725841381.7287464,36
1725841381.7407472,36
1725841381.7519808,36
1725841381.7637556,36
1725841381.7757561,36
1725841381.787108,35
1725841381.7997692,35
1725841381.8117738,36
1725841381.8237855,36
1725841381.8377874,36
1725841381.8498106,36
1725841381.8613617,36
1725841381.873311,36
1725841381.8850756,36
1725841381.8963842,35
1725841381.9084518,36
1725841381.9196424,35
1725841381.9316423,36
1725841381.9433188,35
1725841381.9547923,36
1725841381.9667928,36
1725841381.9782045,36
1725841381.9912045,36
1725841382.0027611,36
1725841382.0148475,36
1725841382.0268486,36
1725841382.0386689,35
1725841382.0506473,35
1725841382.0619743,35
1725841382.0736527,35
1725841382.0856543,36
1725841382.0986543,36
1725841382.1106548,36
1725841382.1226609,36
1725841382.1346712,36
1725841382.147668,36
1725841382.1599982,36
1725841382.1716788,36
1725841382.1846743,36
1725841382.1976943,35
1725841382.2096934,35
1725841382.2219412,17
1725841382.234365,16
1725841382.2469206,17
1725841382.2584314,16
1725841382.2714357,934
1725841382.2844405,458
1725841382.296635,458
1725841382.308646,466
1725841382.3221061,373
1725841382.3341055,293
1725841382.3457215,266
1725841382.357723,150
1725841382.3702247,187
1725841382.3834574,151
1725841382.39546,97
1725841382.408214,91
1725841382.420216,117
1725841382.4334538,116
1725841382.4454625,99
1725841382.458461,59
1725841382.470583,54
1725841382.4828544,-19
1725841382.4948566,3
1725841382.5070934,82
1725841382.5200877,80
1725841382.5319207,80
1725841382.54411,50
1725841382.5563006,61
1725841382.5685885,42
1725841382.5815947,1
1725841382.5938716,35
1725841382.6058705,72
1725841382.6178737,116
1725841382.630076,28
1725841382.643077,89
1725841382.6550765,89
1725841382.6670976,92
1725841382.6791015,113
1725841382.6911056,80
1725841382.7031076,120
1725841382.7151077,96
1725841382.726848,21
1725841382.7385693,-36
1725841382.7505686,11
1725841382.762244,66
1725841382.7749822,38
1725841382.787803,56
1725841382.8008018,103
1725841382.8125615,66
1725841382.82481,10
1725841382.8368104,41
1725841382.8487942,64
1725841382.860794,41
1725841382.872406,50
1725841382.8840585,50
1725841382.8963566,54
1725841382.9083574,33
1725841382.920451,4
1725841382.9323194,41
1725841382.9447196,72
1725841382.9577177,92
1725841382.969403,138
1725841382.981869,75
1725841382.9938688,13
1725841383.00587,44
1725841383.0178747,44
1725841383.0299456,69
1725841383.041667,34
1725841383.0536685,99
1725841383.0654466,69
1725841383.0774477,76
1725841383.089447,64
1725841383.100849,9
1725841383.1128478,26
1725841383.1246717,26
1725841383.1363983,6
1725841383.148472,3
1725841383.1604748,88
1725841383.1724758,34
1725841383.1849916,-8
1725841383.196903,-51
1725841383.208283,-29
1725841383.2201037,-58
1725841383.232116,-41
1725841383.2451265,-8
1725841383.256949,59
1725841383.2689476,57
1725841383.280791,86
1725841383.2929533,96
1725841383.3048465,69
1725841383.3164332,-9
1725841383.3284311,-20
1725841383.3409886,7
1725841383.3530002,7
1725841383.365998,20
1725841383.3782296,43
1725841383.3900068,120
1725841383.4020066,76
1725841383.4149354,64
1725841383.4289365,56
1725841383.4413176,2
1725841383.4529471,89
1725841383.4649627,179
1725841383.4763308,179
1725841383.489334,109
1725841383.5019066,256
1725841383.5143645,131
1725841383.5263655,128
1725841383.5384562,120
1725841383.5504577,44
1725841383.5627167,66
1725841383.5747867,34
1725841383.5867937,-18
1725841383.5984645,-18
1725841383.6104653,1
1725841383.6226614,-8
1725841383.634609,-19
1725841383.6476102,28
1725841383.6606262,6
1725841383.6726272,64
1725841383.6846313,23
1725841383.6968713,-19
1725841383.708876,-19
1725841383.7227263,29
1725841383.7347271,74
1725841383.747305,50
1725841383.7597396,19
1725841383.7717404,24
1725841383.783817,-28
1725841383.795423,11
1725841383.80773,81
1725841383.8195806,60
1725841383.8325768,60
1725841383.8441515,97
1725841383.8564322,-21
1725841383.868153,3
1725841383.8822134,10
1725841383.8939662,16
1725841383.906713,52
1725841383.91803,60
1725841383.9294784,-3
1725841383.940774,37
1725841383.9547725,64
1725841383.967085,49
1725841383.9786136,67
1725841383.9906142,70
1725841384.00178,51
1725841384.0137808,-4
1725841384.026032,37
1725841384.037606,50
1725841384.049676,17
1725841384.0616095,34
1725841384.0736122,34
1725841384.0866144,67
1725841384.0986252,84
1725841384.1106274,64
1725841384.1226277,52
1725841384.1346285,18
1725841384.1466336,-28
1725841384.159042,-19
1725841384.1720388,-9
1725841384.1836867,0
1725841384.1960475,90
1725841384.2080536,25
1725841384.2196054,24
1725841384.232625,36
1725841384.2440593,-44
1725841384.25587,-1
1725841384.267871,5
1725841384.2792597,34
1725841384.291261,81
1725841384.303075,81
1725841384.3150902,21
1725841384.3280902,57
1725841384.340339,16
1725841384.35234,27
1725841384.3653445,-41
1725841384.3768563,22
1725841384.3888564,82
1725841384.401148,17
1725841384.4130015,19
1725841384.4247558,44
1725841384.4361944,80
1725841384.4491928,73
1725841384.4617176,22
1725841384.4741006,73
1725841384.4861088,72
1725841384.4979053,4
1725841384.5109057,60
1725841384.5226548,38
1725841384.533801,16
1725841384.5458024,16
1725841384.5579128,28
1725841384.5709143,25
1725841384.582918,21
1725841384.5949266,67
1725841384.607087,106
1725841384.6200912,39
1725841384.632309,55
1725841384.6439443,44
1725841384.65548,44
1725841384.6675057,39
1725841384.6795177,5
1725841384.6925137,51
1725841384.705518,44
1725841384.717014,56
1725841384.7298496,29
1725841384.741924,58
1725841384.7549248,67
1725841384.7665014,43
1725841384.7785032,43
1725841384.790504,42
1725841384.8025124,75
1725841384.816513,57
